target_id	track	sequence_lookup_id	source_alias	sequence_kind	target_length	hit	pdb_id	entity_id	entry_title	release_date	experimental_method	entity_description	asym_ids	auth_asym_ids	entity_length	target_sequence_equals_entity	target_sequence_contained_in_entity	entity_sequence_contained_in_target	candidate_status	entry_error	entity_error
T1228V1	protein_domain	T1228V1	T1228V1	dnaSequence	545	9DXD_1	9DXD	1	attLmm bound serine integrase and RDF complex in the pre-rotation state	2026-01-21T00:00:00.000+00:00	ELECTRON MICROSCOPY	Resolvase homolog YokA,SPbeta prophage-derived uncharacterized protein YotN	A,B,C,D,I,J,K,L	A,B,C,D,I,J,K,L	620	false	true	false	partial_or_construct_variant_candidate_do_not_promote_without_mapping	none	none
T1228V1	protein_domain	T1228V1	T1228V1	dnaSequence	545	9DXF_1	9DXF	1	attLmm bound serine integrase and RDF complex in the post-rotation state	2026-01-21T00:00:00.000+00:00	ELECTRON MICROSCOPY	Resolvase homolog YokA,SPbeta prophage-derived uncharacterized protein YotN	A,B,C,D,I,J,K,L	A,B,C,D,I,J,K,L	620	false	true	false	partial_or_construct_variant_candidate_do_not_promote_without_mapping	none	none
T1228V1	protein_domain	T1228V1	T1228V1	dnaSequence	545	9DXG_1	9DXG	1	attP bound large serine integrase and RDF complex in the dimeric state (cleaved)	2026-01-21T00:00:00.000+00:00	ELECTRON MICROSCOPY	Resolvase homolog YokA,SPbeta prophage-derived uncharacterized protein YotN	A,B,C,D	A,B,C,D	620	false	true	false	partial_or_construct_variant_candidate_do_not_promote_without_mapping	none	none
T1228V1	protein_domain	T1228V1	T1228V1	dnaSequence	545	9DXH_1	9DXH	1	attPmm and attBmm bound serine integrase complex in the pre-rotation state	2026-01-21T00:00:00.000+00:00	ELECTRON MICROSCOPY	Resolvase homolog YokA	A,B,G,H	A,C,I,K	545	true	true	true	full_construct_exact_candidate_needs_native_provenance_and_mapping	none	none
T1228V1	protein_domain	T1228V1	T1228V1	dnaSequence	545	9DXJ_1	9DXJ	1	attPmm and attBmm bound serine integrase complex in the post-rotation state	2026-01-21T00:00:00.000+00:00	ELECTRON MICROSCOPY	Resolvase homolog YokA	A,B,G,H	A,C,I,K	545	true	true	true	full_construct_exact_candidate_needs_native_provenance_and_mapping	none	none
T1228V1	protein_domain	T1228V1	T1228V1	dnaSequence	545	9DXK_1	9DXK	1	attPmm bound serine integrase complex in the tetrameric state	2026-01-21T00:00:00.000+00:00	ELECTRON MICROSCOPY	Resolvase homolog YokA	A,B,C,D	A,C,I,K	545	true	true	true	full_construct_exact_candidate_needs_native_provenance_and_mapping	none	none
T1228V1	protein_domain	T1228V1	T1228V1	dnaSequence	545	9Y66_1	9Y66	1	attLsym bound serine integrase complex in the dimeric state	2026-02-04T00:00:00.000+00:00	ELECTRON MICROSCOPY	Site-specific recombinase	A,B	A,C	545	true	true	true	full_construct_exact_candidate_needs_native_provenance_and_mapping	none	none
T1228V1	protein_domain	T1228V1	T1228V1	dnaSequence	545	9Y6V_1	9Y6V	1	attPsym bound large serine integrase and RDF complex in the dimeric state	2026-02-04T00:00:00.000+00:00	ELECTRON MICROSCOPY	Resolvase homolog YokA,SPbeta prophage-derived uncharacterized protein YotN	A,B,C,D	A,B,C,D	620	false	true	false	partial_or_construct_variant_candidate_do_not_promote_without_mapping	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	9HAV_1	9HAV	1	F420-dependent glucose-6-phosphate dehydrogenase from Thermomicrobium roseus with glucose	2025-11-19T00:00:00.000+00:00	X-RAY DIFFRACTION	Luciferase family protein	A,B,C,D,E,F	A,B,C,D,E,F	380	true	true	true	full_construct_exact_candidate_needs_native_provenance_and_mapping	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	9HAW_1	9HAW	1	F420-dependent glucose-6-phosphate dehydrogenase without ligand	2025-11-19T00:00:00.000+00:00	X-RAY DIFFRACTION	Luciferase family protein	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R	380	true	true	true	full_construct_exact_candidate_needs_native_provenance_and_mapping	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	9HAX_1	9HAX	1	F420-dependent glucose-6-phosphate dehydrogenase	2025-11-19T00:00:00.000+00:00	X-RAY DIFFRACTION	Luciferase family protein	A,B,C,D,E,F,G,H,I,J,K,L	A,B,C,D,E,F,G,H,I,J,K,L	380	true	true	true	full_construct_exact_candidate_needs_native_provenance_and_mapping	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	9HAY_1	9HAY	1	F420-dependent glucose-6-phosphate dehydrogenase with glucose-6-phosphate	2025-11-19T00:00:00.000+00:00	X-RAY DIFFRACTION	Luciferase family protein	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R	380	true	true	true	full_construct_exact_candidate_needs_native_provenance_and_mapping	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MI_1	13MI	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr12860	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MJ_1	13MJ	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr13647	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MK_1	13MK	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr12961	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13ML_1	13ML	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr13431	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
T1278	protein_domain	T1278	T1278	proteinChain	380	13MM_1	13MM	1	PanDDA analysis group deposition -- Crystal structure of PLpro-C111S in complex with Fr13408	2026-02-18T00:00:00.000+00:00	X-RAY DIFFRACTION	Papain-like protease nsp3	A	A	354	false	false	false	sequence_search_hit_alignment_unverified	none	none
